Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2014-05-04 - 2014-05-10,36,30
2014-05-11 - 2014-05-17,36,34
2014-05-18 - 2014-05-24,37,36
2014-05-25 - 2014-05-31,35,33
2014-06-01 - 2014-06-07,38,35
2014-06-08 - 2014-06-14,38,35
2014-06-15 - 2014-06-21,37,33
2014-06-22 - 2014-06-28,38,33
2014-06-29 - 2014-07-05,37,33
2014-07-06 - 2014-07-12,40,35
2014-07-13 - 2014-07-19,39,35
2014-07-20 - 2014-07-26,37,35
2014-07-27 - 2014-08-02,39,34
2014-08-03 - 2014-08-09,38,32
2014-08-10 - 2014-08-16,36,31
2014-08-17 - 2014-08-23,38,35
2014-08-24 - 2014-08-30,37,32
2014-08-31 - 2014-09-06,36,34
2014-09-07 - 2014-09-13,39,36
2014-09-14 - 2014-09-20,39,37
2014-09-21 - 2014-09-27,41,32
2014-09-28 - 2014-10-04,40,26
2014-10-05 - 2014-10-11,41,30
2014-10-12 - 2014-10-18,46,30
2014-10-19 - 2014-10-25,43,27
2014-10-26 - 2014-11-01,42,36
2014-11-02 - 2014-11-08,47,37
2014-11-09 - 2014-11-15,45,39
2014-11-16 - 2014-11-22,44,40
2014-11-23 - 2014-11-29,43,36
2014-11-30 - 2014-12-06,51,39
2014-12-07 - 2014-12-13,54,39
2014-12-14 - 2014-12-20,57,36
2014-12-21 - 2014-12-27,48,32
2014-12-28 - 2015-01-03,51,38
2015-01-04 - 2015-01-10,64,42
2015-01-11 - 2015-01-17,62,42
2015-01-18 - 2015-01-24,61,44
2015-01-25 - 2015-01-31,60,40
2015-02-01 - 2015-02-07,59,41
2015-02-08 - 2015-02-14,57,42
2015-02-15 - 2015-02-21,54,39
2015-02-22 - 2015-02-28,56,39
2015-03-01 - 2015-03-07,55,40
2015-03-08 - 2015-03-14,56,41
2015-03-15 - 2015-03-21,59,39
2015-03-22 - 2015-03-28,55,38
2015-03-29 - 2015-04-04,48,36
2015-04-05 - 2015-04-11,51,40
2015-04-12 - 2015-04-18,53,40
2015-04-19 - 2015-04-25,54,37
2015-04-26 - 2015-05-02,47,34
2015-05-03 - 2015-05-09,45,34
2015-05-10 - 2015-05-16,42,33
2015-05-17 - 2015-05-23,45,33
2015-05-24 - 2015-05-30,43,31
2015-05-31 - 2015-06-06,43,33
2015-06-07 - 2015-06-13,43,33
2015-06-14 - 2015-06-20,43,32
2015-06-21 - 2015-06-27,45,32
2015-06-28 - 2015-07-04,52,36
2015-07-05 - 2015-07-11,57,37
2015-07-12 - 2015-07-18,51,37
2015-07-19 - 2015-07-25, , 


Top regions for etf
Region,etf,mutual fund
Montenegro,100,0
Serbia,54,0
Bosnia & Herzegovina,47,0
Hong Kong,32,12
Singapore,26,12
Canada,22,9
Luxembourg,21,0
Switzerland,21,1
United States,20,10
Sri Lanka,20,0
Taiwan,18,1
Italy,11,0
Germany,9,0
Japan,9,0
China,8,1
India,8,100
Croatia,7,0
Finland,7,0
Israel,7,1
Macedonia (FYROM),6,0
South Africa,6,7
South Korea,6,1
Austria,5,0
Czech Republic,5,0
United Kingdom,5,2
Estonia,5,0
Belgium,5,0
Australia,5,1
United Arab Emirates,5,12
Ireland,4,1
Denmark,4,0
Netherlands,4,1
Slovenia,4,0
Latvia,3,0
Sweden,3,0
New Zealand,3,1
Nigeria,3,2
Spain,3,0
France,3,0
Malaysia,3,21
